"epoch","G46_0425-1730_adam_lr_1e-5_d9595 - _step","G46_0425-1730_adam_lr_1e-5_d9595 - _step__MIN","G46_0425-1730_adam_lr_1e-5_d9595 - _step__MAX","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/depth","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/depth__MIN","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/depth__MAX","G46_0413-1746_adam_lr_1e-3_3b531 - _step","G46_0413-1746_adam_lr_1e-3_3b531 - _step__MIN","G46_0413-1746_adam_lr_1e-3_3b531 - _step__MAX","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/depth","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/depth__MIN","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/depth__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MAX","G46_0406-0941_adam_lr_1e-2_7dbbe - _step","G46_0406-0941_adam_lr_1e-2_7dbbe - _step__MIN","G46_0406-0941_adam_lr_1e-2_7dbbe - _step__MAX","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/depth","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/depth__MIN","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/depth__MAX"
"0","100","100","100","41.78321144763283","41.78321144763283","41.78321144763283","100","100","100","41.057430961083654","41.057430961083654","41.057430961083654","100","100","100","37.62920518000225","37.62920518000225","37.62920518000225","100","100","100","43.089149497735626","43.089149497735626","43.089149497735626"
"1","201","201","201","41.741072983345425","41.741072983345425","41.741072983345425","201","201","201","38.178175676772945","38.178175676772945","38.178175676772945","201","201","201","33.265639587727904","33.265639587727904","33.265639587727904","201","201","201","44.38923700786088","44.38923700786088","44.38923700786088"
"2","302","302","302","37.388242825540736","37.388242825540736","37.388242825540736","302","302","302","34.399834279848946","34.399834279848946","34.399834279848946","302","302","302","33.15911274142143","33.15911274142143","33.15911274142143","302","302","302","43.88852447896244","43.88852447896244","43.88852447896244"
"3","403","403","403","37.10765293842908","37.10765293842908","37.10765293842908","403","403","403","34.294705252688026","34.294705252688026","34.294705252688026","403","403","403","30.93509625359559","30.93509625359559","30.93509625359559","403","403","403","43.495939776624766","43.495939776624766","43.495939776624766"
"4","504","504","504","35.927873687523565","35.927873687523565","35.927873687523565","504","504","504","35.11819930902509","35.11819930902509","35.11819930902509","504","504","504","31.837030685981656","31.837030685981656","31.837030685981656","504","504","504","47.11408623011186","47.11408623011186","47.11408623011186"
"5","605","605","605","36.006340139319875","36.006340139319875","36.006340139319875","605","605","605","30.908734979618735","30.908734979618735","30.908734979618735","605","605","605","29.74662324197522","29.74662324197522","29.74662324197522","605","605","605","44.191633727122834","44.191633727122834","44.191633727122834"
"6","706","706","706","35.177447063811385","35.177447063811385","35.177447063811385","706","706","706","33.123824737403076","33.123824737403076","33.123824737403076","706","706","706","30.322024433596052","30.322024433596052","30.322024433596052","706","706","706","50.30733805724744","50.30733805724744","50.30733805724744"
"7","807","807","807","34.53841189967421","34.53841189967421","34.53841189967421","807","807","807","31.27770891767532","31.27770891767532","31.27770891767532","807","807","807","29.71463813476559","29.71463813476559","29.71463813476559","807","807","807","45.00819292126396","45.00819292126396","45.00819292126396"
"8","908","908","908","34.21243334797497","34.21243334797497","34.21243334797497","908","908","908","30.865952519464532","30.865952519464532","30.865952519464532","908","908","908","35.0529087407514","35.0529087407514","35.0529087407514","908","908","908","45.1494142445272","45.1494142445272","45.1494142445272"
"9","1009","1009","1009","33.856120441375154","33.856120441375154","33.856120441375154","1009","1009","1009","30.204218324782314","30.204218324782314","30.204218324782314","1009","1009","1009","28.59407787237853","28.59407787237853","28.59407787237853","1009","1009","1009","40.35913466524876","40.35913466524876","40.35913466524876"
"10","1110","1110","1110","33.367660127092996","33.367660127092996","33.367660127092996","1110","1110","1110","29.831370183711325","29.831370183711325","29.831370183711325","1110","1110","1110","29.153821131255025","29.153821131255025","29.153821131255025","1110","1110","1110","40.72962198514519","40.72962198514519","40.72962198514519"
"11","1211","1211","1211","32.848653278058435","32.848653278058435","32.848653278058435","1211","1211","1211","29.503039926618058","29.503039926618058","29.503039926618058","1211","1211","1211","28.127441897306092","28.127441897306092","28.127441897306092","1211","1211","1211","39.01688815634352","39.01688815634352","39.01688815634352"
"12","1312","1312","1312","32.49056453273552","32.49056453273552","32.49056453273552","1312","1312","1312","28.946125807263236","28.946125807263236","28.946125807263236","1312","1312","1312","27.544098233495873","27.544098233495873","27.544098233495873","1312","1312","1312","37.38449896695607","37.38449896695607","37.38449896695607"
"13","1413","1413","1413","32.86813313862495","32.86813313862495","32.86813313862495","1413","1413","1413","28.73624023847804","28.73624023847804","28.73624023847804","1413","1413","1413","26.818234753023088","26.818234753023088","26.818234753023088","1413","1413","1413","38.53556454758885","38.53556454758885","38.53556454758885"
"14","1514","1514","1514","32.65854882324077","32.65854882324077","32.65854882324077","1514","1514","1514","28.127736777670385","28.127736777670385","28.127736777670385","1514","1514","1514","26.565376871882922","26.565376871882922","26.565376871882922","1514","1514","1514","40.21151244043307","40.21151244043307","40.21151244043307"
"15","1615","1615","1615","32.70557508362598","32.70557508362598","32.70557508362598","1615","1615","1615","27.792525567196023","27.792525567196023","27.792525567196023","1615","1615","1615","26.522370017535845","26.522370017535845","26.522370017535845","1615","1615","1615","37.34508312901687","37.34508312901687","37.34508312901687"
