"epoch","G46_0425-1730_adam_lr_1e-5_d9595 - _step","G46_0425-1730_adam_lr_1e-5_d9595 - _step__MIN","G46_0425-1730_adam_lr_1e-5_d9595 - _step__MAX","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/semseg","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/semseg__MIN","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/semseg__MAX","G46_0413-1746_adam_lr_1e-3_3b531 - _step","G46_0413-1746_adam_lr_1e-3_3b531 - _step__MIN","G46_0413-1746_adam_lr_1e-3_3b531 - _step__MAX","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/semseg","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/semseg__MIN","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/semseg__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MAX","G46_0406-0941_adam_lr_1e-2_7dbbe - _step","G46_0406-0941_adam_lr_1e-2_7dbbe - _step__MIN","G46_0406-0941_adam_lr_1e-2_7dbbe - _step__MAX","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/semseg","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/semseg__MIN","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/semseg__MAX"
"0","100","100","100","22.66414753335809","22.66414753335809","22.66414753335809","100","100","100","31.13397376192418","31.13397376192418","31.13397376192418","100","100","100","44.41418854446432","44.41418854446432","44.41418854446432","100","100","100","22.070792704886202","22.070792704886202","22.070792704886202"
"1","201","201","201","32.81676198832259","32.81676198832259","32.81676198832259","201","201","201","37.31507437401994","37.31507437401994","37.31507437401994","201","201","201","53.01801063817535","53.01801063817535","53.01801063817535","201","201","201","27.677596789909188","27.677596789909188","27.677596789909188"
"2","302","302","302","39.37938339941824","39.37938339941824","39.37938339941824","302","302","302","43.76414608124258","43.76414608124258","43.76414608124258","302","302","302","57.504940802870664","57.504940802870664","57.504940802870664","302","302","302","28.411813167322286","28.411813167322286","28.411813167322286"
"3","403","403","403","42.33545173553289","42.33545173553289","42.33545173553289","403","403","403","51.09282090588127","51.09282090588127","51.09282090588127","403","403","403","60.604975852880266","60.604975852880266","60.604975852880266","403","403","403","26.653014900393742","26.653014900393742","26.653014900393742"
"4","504","504","504","46.41168304629689","46.41168304629689","46.41168304629689","504","504","504","46.081789382783214","46.081789382783214","46.081789382783214","504","504","504","61.09410988836007","61.09410988836007","61.09410988836007","504","504","504","23.193824752100657","23.193824752100657","23.193824752100657"
"5","605","605","605","47.43346231734565","47.43346231734565","47.43346231734565","605","605","605","58.252144080140795","58.252144080140795","58.252144080140795","605","605","605","60.89112352899661","60.89112352899661","60.89112352899661","605","605","605","32.36595656760714","32.36595656760714","32.36595656760714"
"6","706","706","706","49.69497498900029","49.69497498900029","49.69497498900029","706","706","706","56.38471656660723","56.38471656660723","56.38471656660723","706","706","706","63.60548890025479","63.60548890025479","63.60548890025479","706","706","706","19.093159380151306","19.093159380151306","19.093159380151306"
"7","807","807","807","51.766150300234294","51.766150300234294","51.766150300234294","807","807","807","59.273114201528436","59.273114201528436","59.273114201528436","807","807","807","64.86963834452479","64.86963834452479","64.86963834452479","807","807","807","28.888795005649214","28.888795005649214","28.888795005649214"
"8","908","908","908","52.69567913804187","52.69567913804187","52.69567913804187","908","908","908","56.45419326140481","56.45419326140481","56.45419326140481","908","908","908","65.3279733444333","65.3279733444333","65.3279733444333","908","908","908","27.38482519467772","27.38482519467772","27.38482519467772"
"9","1009","1009","1009","53.939069404158715","53.939069404158715","53.939069404158715","1009","1009","1009","61.52032503199967","61.52032503199967","61.52032503199967","1009","1009","1009","65.80505746185622","65.80505746185622","65.80505746185622","1009","1009","1009","30.844417716750996","30.844417716750996","30.844417716750996"
"10","1110","1110","1110","54.38408754089138","54.38408754089138","54.38408754089138","1110","1110","1110","61.98808630097757","61.98808630097757","61.98808630097757","1110","1110","1110","67.22211350944671","67.22211350944671","67.22211350944671","1110","1110","1110","28.07615593292463","28.07615593292463","28.07615593292463"
"11","1211","1211","1211","54.84234425428482","54.84234425428482","54.84234425428482","1211","1211","1211","61.66037429339027","61.66037429339027","61.66037429339027","1211","1211","1211","67.47047508315777","67.47047508315777","67.47047508315777","1211","1211","1211","35.73427997536175","35.73427997536175","35.73427997536175"
"12","1312","1312","1312","55.438599911125515","55.438599911125515","55.438599911125515","1312","1312","1312","63.56280033317707","63.56280033317707","63.56280033317707","1312","1312","1312","68.56400255676769","68.56400255676769","68.56400255676769","1312","1312","1312","35.31110201353678","35.31110201353678","35.31110201353678"
"13","1413","1413","1413","55.6784229916268","55.6784229916268","55.6784229916268","1413","1413","1413","64.38173997007023","64.38173997007023","64.38173997007023","1413","1413","1413","68.98849420650524","68.98849420650524","68.98849420650524","1413","1413","1413","38.35918004565251","38.35918004565251","38.35918004565251"
"14","1514","1514","1514","56.18272881189021","56.18272881189021","56.18272881189021","1514","1514","1514","64.78204022048493","64.78204022048493","64.78204022048493","1514","1514","1514","69.58375324781733","69.58375324781733","69.58375324781733","1514","1514","1514","39.31847246006735","39.31847246006735","39.31847246006735"
"15","1615","1615","1615","55.8782652641962","55.8782652641962","55.8782652641962","1615","1615","1615","66.12352296380905","66.12352296380905","66.12352296380905","1615","1615","1615","69.83083718702396","69.83083718702396","69.83083718702396","1615","1615","1615","40.801490828324525","40.801490828324525","40.801490828324525"
