"epoch","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step__MIN","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step__MAX","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/depth","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/depth__MIN","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/depth__MAX","G46_0426-0109_sgd_lr_1e-4_33e78 - _step","G46_0426-0109_sgd_lr_1e-4_33e78 - _step__MIN","G46_0426-0109_sgd_lr_1e-4_33e78 - _step__MAX","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/depth","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/depth__MIN","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/depth__MAX","G46_0425-2019_sgd_lr_1e-3_1c195 - _step","G46_0425-2019_sgd_lr_1e-3_1c195 - _step__MIN","G46_0425-2019_sgd_lr_1e-3_1c195 - _step__MAX","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/depth","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/depth__MIN","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/depth__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MAX"
"0","100","100","100","42.1841038393913","42.1841038393913","42.1841038393913","100","100","100","49.486626126887785","49.486626126887785","49.486626126887785","100","100","100","43.14165768581197","43.14165768581197","43.14165768581197","100","100","100","41.19626931749303","41.19626931749303","41.19626931749303"
"1","201","201","201","44.05283964268271","44.05283964268271","44.05283964268271","201","201","201","47.671651641497164","47.671651641497164","47.671651641497164","201","201","201","43.41312996620333","43.41312996620333","43.41312996620333","201","201","201","34.27646996348649","34.27646996348649","34.27646996348649"
"2","302","302","302","42.156817993234526","42.156817993234526","42.156817993234526","302","302","302","45.07335665095993","45.07335665095993","45.07335665095993","302","302","302","39.19426386687319","39.19426386687319","39.19426386687319","302","302","302","40.181978261711365","40.181978261711365","40.181978261711365"
"3","403","403","403","48.72146472371572","48.72146472371572","48.72146472371572","403","403","403","44.222336433487726","44.222336433487726","44.222336433487726","403","403","403","37.69279792275816","37.69279792275816","37.69279792275816","403","403","403","31.704426772140078","31.704426772140078","31.704426772140078"
"4","504","504","504","37.83493333518506","37.83493333518506","37.83493333518506","504","504","504","44.022613192687345","44.022613192687345","44.022613192687345","504","504","504","37.053284943203664","37.053284943203664","37.053284943203664","504","504","504","34.725933593799915","34.725933593799915","34.725933593799915"
"5","605","605","605","33.681262517063075","33.681262517063075","33.681262517063075","605","605","605","43.12119301228291","43.12119301228291","43.12119301228291","605","605","605","36.71419328287413","36.71419328287413","36.71419328287413","605","605","605","29.946220033695408","29.946220033695408","29.946220033695408"
"6","706","706","706","32.60838338927174","32.60838338927174","32.60838338927174","706","706","706","42.71635322586581","42.71635322586581","42.71635322586581","706","706","706","37.052185758566814","37.052185758566814","37.052185758566814","706","706","706","31.822687027166026","31.822687027166026","31.822687027166026"
"7","807","807","807","35.40078951589876","35.40078951589876","35.40078951589876","807","807","807","42.02505252858296","42.02505252858296","42.02505252858296","807","807","807","35.39869502235196","35.39869502235196","35.39869502235196","807","807","807","36.0343550648109","36.0343550648109","36.0343550648109"
"8","908","908","908","32.32668780842287","32.32668780842287","32.32668780842287","908","908","908","41.810854491218635","41.810854491218635","41.810854491218635","908","908","908","37.09202164502734","37.09202164502734","37.09202164502734","908","908","908","35.44449568999125","35.44449568999125","35.44449568999125"
"9","1009","1009","1009","33.53047991514641","33.53047991514641","33.53047991514641","1009","1009","1009","40.884808091689486","40.884808091689486","40.884808091689486","1009","1009","1009","34.442179433858264","34.442179433858264","34.442179433858264","1009","1009","1009","31.326529913334724","31.326529913334724","31.326529913334724"
"10","1110","1110","1110","31.66968141966625","31.66968141966625","31.66968141966625","1110","1110","1110","40.792527183906344","40.792527183906344","40.792527183906344","1110","1110","1110","33.93629738262573","33.93629738262573","33.93629738262573","1110","1110","1110","28.22521861798159","28.22521861798159","28.22521861798159"
"11","1211","1211","1211","35.602086428446896","35.602086428446896","35.602086428446896","1211","1211","1211","41.153042412009675","41.153042412009675","41.153042412009675","1211","1211","1211","34.738528976449636","34.738528976449636","34.738528976449636","1211","1211","1211","30.15121969253407","30.15121969253407","30.15121969253407"
"12","1312","1312","1312","36.237095940970896","36.237095940970896","36.237095940970896","1312","1312","1312","41.51931530009077","41.51931530009077","41.51931530009077","1312","1312","1312","34.02495961723245","34.02495961723245","34.02495961723245","1312","1312","1312","32.09682703203054","32.09682703203054","32.09682703203054"
"13","1413","1413","1413","29.182286722842022","29.182286722842022","29.182286722842022","1413","1413","1413","41.36543598768338","41.36543598768338","41.36543598768338","1413","1413","1413","34.76851997310768","34.76851997310768","34.76851997310768","1413","1413","1413","29.025119496496185","29.025119496496185","29.025119496496185"
"14","1514","1514","1514","30.521005400704837","30.521005400704837","30.521005400704837","1514","1514","1514","41.044280510828315","41.044280510828315","41.044280510828315","1514","1514","1514","33.61074827185176","33.61074827185176","33.61074827185176","1514","1514","1514","27.198881849647154","27.198881849647154","27.198881849647154"
"15","1615","1615","1615","31.35237358671291","31.35237358671291","31.35237358671291","1615","1615","1615","40.9801839885062","40.9801839885062","40.9801839885062","1615","1615","1615","32.90752075198566","32.90752075198566","32.90752075198566","1615","1615","1615","27.213038225373136","27.213038225373136","27.213038225373136"
