"epoch","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step__MIN","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step__MAX","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/grader","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/grader__MIN","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/grader__MAX","G46_0426-0109_sgd_lr_1e-4_33e78 - _step","G46_0426-0109_sgd_lr_1e-4_33e78 - _step__MIN","G46_0426-0109_sgd_lr_1e-4_33e78 - _step__MAX","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/grader","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/grader__MIN","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/grader__MAX","G46_0425-2019_sgd_lr_1e-3_1c195 - _step","G46_0425-2019_sgd_lr_1e-3_1c195 - _step__MIN","G46_0425-2019_sgd_lr_1e-3_1c195 - _step__MAX","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/grader","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/grader__MIN","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/grader__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MAX"
"0","100","100","100","7.815896160608702","7.815896160608702","7.815896160608702","100","100","100","0.513373873112215","0.513373873112215","0.513373873112215","100","100","100","6.858342314188029","6.858342314188029","6.858342314188029","100","100","100","8.803730682506973","8.803730682506973","8.803730682506973"
"1","201","201","201","5.947160357317287","5.947160357317287","5.947160357317287","201","201","201","2.3283483585028364","2.3283483585028364","2.3283483585028364","201","201","201","6.5868700337966715","6.5868700337966715","6.5868700337966715","201","201","201","17.133558901683834","17.133558901683834","17.133558901683834"
"2","302","302","302","7.843182006765474","7.843182006765474","7.843182006765474","302","302","302","4.92664334904007","4.92664334904007","4.92664334904007","302","302","302","10.805736133126807","10.805736133126807","10.805736133126807","302","302","302","15.149783575702543","15.149783575702543","15.149783575702543"
"3","403","403","403","6.715456110679149","6.715456110679149","6.715456110679149","403","403","403","5.777663566512274","5.777663566512274","5.777663566512274","403","403","403","12.30720207724184","12.30720207724184","12.30720207724184","403","403","403","26.871410415294964","26.871410415294964","26.871410415294964"
"4","504","504","504","18.370354375263695","18.370354375263695","18.370354375263695","504","504","504","5.977386807312655","5.977386807312655","5.977386807312655","504","504","504","12.946715056796336","12.946715056796336","12.946715056796336","504","504","504","23.871755764890246","23.871755764890246","23.871755764890246"
"5","605","605","605","23.53147094674064","23.53147094674064","23.53147094674064","605","605","605","6.878806987717091","6.878806987717091","6.878806987717091","605","605","605","13.285806717125872","13.285806717125872","13.285806717125872","605","605","605","32.170708262272186","32.170708262272186","32.170708262272186"
"6","706","706","706","26.34881200584534","26.34881200584534","26.34881200584534","706","706","706","7.283646774134191","7.283646774134191","7.283646774134191","706","706","706","12.947814241433186","12.947814241433186","12.947814241433186","706","706","706","30.296454850882554","30.296454850882554","30.296454850882554"
"7","807","807","807","23.875928523079338","23.875928523079338","23.875928523079338","807","807","807","7.974947471417039","7.974947471417039","7.974947471417039","807","807","807","14.601304977648041","14.601304977648041","14.601304977648041","807","807","807","26.394304585099924","26.394304585099924","26.394304585099924"
"8","908","908","908","29.72729586361163","29.72729586361163","29.72729586361163","908","908","908","8.189145508781365","8.189145508781365","8.189145508781365","908","908","908","12.907978354972663","12.907978354972663","12.907978354972663","908","908","908","26.757582998839652","26.757582998839652","26.757582998839652"
"9","1009","1009","1009","29.862017831461763","29.862017831461763","29.862017831461763","1009","1009","1009","9.115191908310514","9.115191908310514","9.115191908310514","1009","1009","1009","17.053306578296997","17.053306578296997","17.053306578296997","1009","1009","1009","33.562465264828944","33.562465264828944","33.562465264828944"
