"epoch","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step__MIN","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step__MAX","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/depth","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/depth__MIN","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/depth__MAX","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step__MIN","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step__MAX","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/depth","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/depth__MIN","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/depth__MAX","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step__MIN","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step__MAX","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/depth","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/depth__MIN","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/depth__MAX","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step__MIN","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step__MAX","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/depth","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/depth__MIN","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/depth__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MAX"
"0","200","200","200","36.063294413317124","36.063294413317124","36.063294413317124","200","200","200","39.85917553273801","39.85917553273801","39.85917553273801","200","200","200","42.04440181424107","42.04440181424107","42.04440181424107","200","200","200","38.16383123532357","38.16383123532357","38.16383123532357","200","200","200","36.043120983225236","36.043120983225236","36.043120983225236"
"1","401","401","401","36.17348286744272","36.17348286744272","36.17348286744272","401","401","401","35.32901506188275","35.32901506188275","35.32901506188275","401","401","401","35.921477182887735","35.921477182887735","35.921477182887735","401","401","401","39.983547380191325","39.983547380191325","39.983547380191325","401","401","401","33.904604057523464","33.904604057523464","33.904604057523464"
"2","602","602","602","33.998481540533795","33.998481540533795","33.998481540533795","602","602","602","34.36831193432263","34.36831193432263","34.36831193432263","602","602","602","34.099478876025046","34.099478876025046","34.099478876025046","602","602","602","35.20095232607131","35.20095232607131","35.20095232607131","602","602","602","36.91956099553089","36.91956099553089","36.91956099553089"
"3","803","803","803","31.863594147510145","31.863594147510145","31.863594147510145","803","803","803","32.6366619418959","32.6366619418959","32.6366619418959","803","803","803","33.288465102959655","33.288465102959655","33.288465102959655","803","803","803","36.34981921212412","36.34981921212412","36.34981921212412","803","803","803","32.95767743349604","32.95767743349604","32.95767743349604"
"4","1004","1004","1004","31.206821393739055","31.206821393739055","31.206821393739055","1004","1004","1004","31.952716883788856","31.952716883788856","31.952716883788856","1004","1004","1004","35.47067432484464","35.47067432484464","35.47067432484464","1004","1004","1004","34.87326803061086","34.87326803061086","34.87326803061086","1004","1004","1004","35.631274963398184","35.631274963398184","35.631274963398184"
"5","1205","1205","1205","30.852688233181375","30.852688233181375","30.852688233181375","1205","1205","1205","32.20958596030656","32.20958596030656","32.20958596030656","1205","1205","1205","33.1958572588884","33.1958572588884","33.1958572588884","1205","1205","1205","32.736648216940914","32.736648216940914","32.736648216940914","1205","1205","1205","30.422547513642833","30.422547513642833","30.422547513642833"
"6","1406","1406","1406","30.00825607853116","30.00825607853116","30.00825607853116","1406","1406","1406","32.71672801853754","32.71672801853754","32.71672801853754","1406","1406","1406","31.178867557247745","31.178867557247745","31.178867557247745","1406","1406","1406","31.308756812909195","31.308756812909195","31.308756812909195","1406","1406","1406","29.071448527126563","29.071448527126563","29.071448527126563"
"7","1607","1607","1607","30.072204719190008","30.072204719190008","30.072204719190008","1607","1607","1607","29.44358796796212","29.44358796796212","29.44358796796212","1607","1607","1607","30.513068159917317","30.513068159917317","30.513068159917317","1607","1607","1607","31.24125359414983","31.24125359414983","31.24125359414983","1607","1607","1607","28.393412220990076","28.393412220990076","28.393412220990076"
"8","1808","1808","1808","28.136378672688593","28.136378672688593","28.136378672688593","1808","1808","1808","30.05233706012023","30.05233706012023","30.05233706012023","1808","1808","1808","30.224541420074047","30.224541420074047","30.224541420074047","1808","1808","1808","31.460639546205627","31.460639546205627","31.460639546205627","","","","","",""
"9","2009","2009","2009","28.8198174874886","28.8198174874886","28.8198174874886","2009","2009","2009","28.838290037574783","28.838290037574783","28.838290037574783","2009","2009","2009","29.091068346065434","29.091068346065434","29.091068346065434","2009","2009","2009","31.0321151010158","31.0321151010158","31.0321151010158","","","","","",""
