"epoch","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/depth","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/depth__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/depth__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/depth","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/depth__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/depth__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MAX"
"0","200","200","200","36.043120983225236","36.043120983225236","36.043120983225236","50","50","50","36.94779685188407","36.94779685188407","36.94779685188407","200","200","200","41.174343900496076","41.174343900496076","41.174343900496076","50","50","50","42.04493431120788","42.04493431120788","42.04493431120788","100","100","100","37.62920518000225","37.62920518000225","37.62920518000225","100","100","100","41.19626931749303","41.19626931749303","41.19626931749303"
"1","401","401","401","33.904604057523464","33.904604057523464","33.904604057523464","101","101","101","34.18005420338888","34.18005420338888","34.18005420338888","401","401","401","43.28372060345559","43.28372060345559","43.28372060345559","101","101","101","37.17822205176336","37.17822205176336","37.17822205176336","201","201","201","33.265639587727904","33.265639587727904","33.265639587727904","201","201","201","34.27646996348649","34.27646996348649","34.27646996348649"
"2","602","602","602","36.91956099553089","36.91956099553089","36.91956099553089","152","152","152","32.73949238139557","32.73949238139557","32.73949238139557","602","602","602","35.65081096553796","35.65081096553796","35.65081096553796","152","152","152","32.740254771713296","32.740254771713296","32.740254771713296","302","302","302","33.15911274142143","33.15911274142143","33.15911274142143","302","302","302","40.181978261711365","40.181978261711365","40.181978261711365"
"3","803","803","803","32.95767743349604","32.95767743349604","32.95767743349604","203","203","203","32.57693809592935","32.57693809592935","32.57693809592935","803","803","803","35.933974280967576","35.933974280967576","35.933974280967576","203","203","203","34.21928979367991","34.21928979367991","34.21928979367991","403","403","403","30.93509625359559","30.93509625359559","30.93509625359559","403","403","403","31.704426772140078","31.704426772140078","31.704426772140078"
"4","1004","1004","1004","35.631274963398184","35.631274963398184","35.631274963398184","254","254","254","32.081492528484716","32.081492528484716","32.081492528484716","1004","1004","1004","29.843281222670786","29.843281222670786","29.843281222670786","254","254","254","39.43845439929305","39.43845439929305","39.43845439929305","504","504","504","31.837030685981656","31.837030685981656","31.837030685981656","504","504","504","34.725933593799915","34.725933593799915","34.725933593799915"
"5","1205","1205","1205","30.422547513642833","30.422547513642833","30.422547513642833","305","305","305","29.685096541236238","29.685096541236238","29.685096541236238","1205","1205","1205","28.88803589442004","28.88803589442004","28.88803589442004","305","305","305","33.41948643410359","33.41948643410359","33.41948643410359","605","605","605","29.74662324197522","29.74662324197522","29.74662324197522","605","605","605","29.946220033695408","29.946220033695408","29.946220033695408"
"6","1406","1406","1406","29.071448527126563","29.071448527126563","29.071448527126563","356","356","356","29.21211008426833","29.21211008426833","29.21211008426833","1406","1406","1406","29.162462009319675","29.162462009319675","29.162462009319675","356","356","356","32.72810466314452","32.72810466314452","32.72810466314452","706","706","706","30.322024433596052","30.322024433596052","30.322024433596052","706","706","706","31.822687027166026","31.822687027166026","31.822687027166026"
"7","1607","1607","1607","28.393412220990076","28.393412220990076","28.393412220990076","407","407","407","30.81702957708687","30.81702957708687","30.81702957708687","1607","1607","1607","27.978351167390937","27.978351167390937","27.978351167390937","407","407","407","34.672342633289595","34.672342633289595","34.672342633289595","807","807","807","29.71463813476559","29.71463813476559","29.71463813476559","807","807","807","36.0343550648109","36.0343550648109","36.0343550648109"
"8","","","","","","","458","458","458","30.41971045549055","30.41971045549055","30.41971045549055","","","","","","","458","458","458","29.043490785406583","29.043490785406583","29.043490785406583","908","908","908","35.0529087407514","35.0529087407514","35.0529087407514","908","908","908","35.44449568999125","35.44449568999125","35.44449568999125"
"9","","","","","","","509","509","509","28.813156687622868","28.813156687622868","28.813156687622868","","","","","","","509","509","509","29.355228754572476","29.355228754572476","29.355228754572476","1009","1009","1009","28.59407787237853","28.59407787237853","28.59407787237853","1009","1009","1009","31.326529913334724","31.326529913334724","31.326529913334724"
