"epoch","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MAX"
"0","100","100","100","44.41418854446432","44.41418854446432","44.41418854446432","100","100","100","41.27754329414338","41.27754329414338","41.27754329414338"
"1","201","201","201","53.01801063817535","53.01801063817535","53.01801063817535","201","201","201","51.410028865170325","51.410028865170325","51.410028865170325"
"2","302","302","302","57.504940802870664","57.504940802870664","57.504940802870664","302","302","302","55.33176183741391","55.33176183741391","55.33176183741391"
"3","403","403","403","60.604975852880266","60.604975852880266","60.604975852880266","403","403","403","58.57583718743504","58.57583718743504","58.57583718743504"
"4","504","504","504","61.09410988836007","61.09410988836007","61.09410988836007","504","504","504","58.59768935869016","58.59768935869016","58.59768935869016"
"5","605","605","605","60.89112352899661","60.89112352899661","60.89112352899661","605","605","605","62.11692829596759","62.11692829596759","62.11692829596759"
"6","706","706","706","63.60548890025479","63.60548890025479","63.60548890025479","706","706","706","62.11914187804858","62.11914187804858","62.11914187804858"
"7","807","807","807","64.86963834452479","64.86963834452479","64.86963834452479","807","807","807","62.42865964991083","62.42865964991083","62.42865964991083"
"8","908","908","908","65.3279733444333","65.3279733444333","65.3279733444333","908","908","908","62.2020786888309","62.2020786888309","62.2020786888309"
"9","1009","1009","1009","65.80505746185622","65.80505746185622","65.80505746185622","1009","1009","1009","64.88899517816367","64.88899517816367","64.88899517816367"
"10","1110","1110","1110","67.22211350944671","67.22211350944671","67.22211350944671","1110","1110","1110","66.09278589711204","66.09278589711204","66.09278589711204"
"11","1211","1211","1211","67.47047508315777","67.47047508315777","67.47047508315777","1211","1211","1211","65.79275655019863","65.79275655019863","65.79275655019863"
"12","1312","1312","1312","68.56400255676769","68.56400255676769","68.56400255676769","1312","1312","1312","66.09399016753834","66.09399016753834","66.09399016753834"
"13","1413","1413","1413","68.98849420650524","68.98849420650524","68.98849420650524","1413","1413","1413","66.5278401568951","66.5278401568951","66.5278401568951"
"14","1514","1514","1514","69.58375324781733","69.58375324781733","69.58375324781733","1514","1514","1514","67.2163392087431","67.2163392087431","67.2163392087431"
"15","1615","1615","1615","69.83083718702396","69.83083718702396","69.83083718702396","1615","1615","1615","67.05313550819305","67.05313550819305","67.05313550819305"
