"epoch","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth__MAX","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step__MIN","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step__MAX","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/depth","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/depth__MIN","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/depth__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/depth","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/depth__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/depth__MAX","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step__MIN","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step__MAX","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/depth","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/depth__MIN","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/depth__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/depth__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MAX"
"0","200","200","200","28.52085405691125","28.52085405691125","28.52085405691125","200","200","200","32.891130119105746","32.891130119105746","32.891130119105746","200","200","200","34.02369988753228","34.02369988753228","34.02369988753228","200","200","200","34.542995646602265","34.542995646602265","34.542995646602265","200","200","200","36.043120983225236","36.043120983225236","36.043120983225236","200","200","200","41.174343900496076","41.174343900496076","41.174343900496076"
"1","401","401","401","28.678495701344573","28.678495701344573","28.678495701344573","401","401","401","31.37267074642083","31.37267074642083","31.37267074642083","401","401","401","29.847511881477537","29.847511881477537","29.847511881477537","401","401","401","31.489786313565105","31.489786313565105","31.489786313565105","401","401","401","33.904604057523464","33.904604057523464","33.904604057523464","401","401","401","43.28372060345559","43.28372060345559","43.28372060345559"
"2","602","602","602","25.52983036703025","25.52983036703025","25.52983036703025","602","602","602","29.51987602285929","29.51987602285929","29.51987602285929","602","602","602","26.43103897914595","26.43103897914595","26.43103897914595","602","602","602","32.83488045698159","32.83488045698159","32.83488045698159","602","602","602","36.91956099553089","36.91956099553089","36.91956099553089","602","602","602","35.65081096553796","35.65081096553796","35.65081096553796"
"3","803","803","803","26.82341337129247","26.82341337129247","26.82341337129247","803","803","803","29.43543382024631","29.43543382024631","29.43543382024631","803","803","803","27.502029859021782","27.502029859021782","27.502029859021782","803","803","803","30.543248377756004","30.543248377756004","30.543248377756004","803","803","803","32.95767743349604","32.95767743349604","32.95767743349604","803","803","803","35.933974280967576","35.933974280967576","35.933974280967576"
"4","1004","1004","1004","26.52791317788816","26.52791317788816","26.52791317788816","1004","1004","1004","30.070141187055096","30.070141187055096","30.070141187055096","1004","1004","1004","27.341643001371047","27.341643001371047","27.341643001371047","1004","1004","1004","27.925224469887215","27.925224469887215","27.925224469887215","1004","1004","1004","35.631274963398184","35.631274963398184","35.631274963398184","1004","1004","1004","29.843281222670786","29.843281222670786","29.843281222670786"
"5","1205","1205","1205","25.957972283201205","25.957972283201205","25.957972283201205","1205","1205","1205","28.29777863733796","28.29777863733796","28.29777863733796","1205","1205","1205","24.634826591017905","24.634826591017905","24.634826591017905","1205","1205","1205","31.961707921868115","31.961707921868115","31.961707921868115","1205","1205","1205","30.422547513642833","30.422547513642833","30.422547513642833","1205","1205","1205","28.88803589442004","28.88803589442004","28.88803589442004"
"6","1406","1406","1406","25.9085869163336","25.9085869163336","25.9085869163336","1406","1406","1406","28.911970521837205","28.911970521837205","28.911970521837205","1406","1406","1406","30.026705722536544","30.026705722536544","30.026705722536544","1406","1406","1406","28.66200844423741","28.66200844423741","28.66200844423741","1406","1406","1406","29.071448527126563","29.071448527126563","29.071448527126563","1406","1406","1406","29.162462009319675","29.162462009319675","29.162462009319675"
"7","1607","1607","1607","24.804215820903035","24.804215820903035","24.804215820903035","1607","1607","1607","28.10177933396181","28.10177933396181","28.10177933396181","1607","1607","1607","24.610696382973643","24.610696382973643","24.610696382973643","1607","1607","1607","26.918358721645024","26.918358721645024","26.918358721645024","1607","1607","1607","28.393412220990076","28.393412220990076","28.393412220990076","1607","1607","1607","27.978351167390937","27.978351167390937","27.978351167390937"
"8","1808","1808","1808","24.71793121354503","24.71793121354503","24.71793121354503","1808","1808","1808","27.645350823734297","27.645350823734297","27.645350823734297","1808","1808","1808","25.241208908751297","25.241208908751297","25.241208908751297","1808","1808","1808","26.76650045244891","26.76650045244891","26.76650045244891","","","","","","","","","","","",""
"9","2009","2009","2009","24.56242123892605","24.56242123892605","24.56242123892605","2009","2009","2009","27.17410129970882","27.17410129970882","27.17410129970882","2009","2009","2009","26.712095714770165","26.712095714770165","26.712095714770165","2009","2009","2009","26.79646710615458","26.79646710615458","26.79646710615458","","","","","","","","","","","",""
