"epoch","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MAX","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step__MIN","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step__MAX","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/grader","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/grader__MIN","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/grader__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader__MAX","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step__MIN","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step__MAX","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/grader","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/grader__MIN","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/grader__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MAX"
"0","200","200","200","41.89156318798898","41.89156318798898","41.89156318798898","200","200","200","27.60968787166182","27.60968787166182","27.60968787166182","200","200","200","34.36039843451008","34.36039843451008","34.36039843451008","200","200","200","28.023331760174493","28.023331760174493","28.023331760174493","200","200","200","13.956879016774764","13.956879016774764","13.956879016774764","200","200","200","8.825656099503924","8.825656099503924","8.825656099503924"
"1","401","401","401","42.17025476293789","42.17025476293789","42.17025476293789","401","401","401","33.291021553037474","33.291021553037474","33.291021553037474","401","401","401","41.55248690266013","41.55248690266013","41.55248690266013","401","401","401","33.19163768473358","33.19163768473358","33.19163768473358","401","401","401","16.095395942476536","16.095395942476536","16.095395942476536","401","401","401","8.169708990171785","8.169708990171785","8.169708990171785"
"2","602","602","602","48.254006099599856","48.254006099599856","48.254006099599856","602","602","602","37.05503002190011","37.05503002190011","37.05503002190011","602","602","602","47.25451210907552","47.25451210907552","47.25451210907552","602","602","602","33.995058347831","33.995058347831","33.995058347831","602","602","602","18.21997075438592","18.21997075438592","18.21997075438592","602","602","602","17.189856557619336","17.189856557619336","17.189856557619336"
"3","803","803","803","44.35248865924653","44.35248865924653","44.35248865924653","803","803","803","37.30407234045604","37.30407234045604","37.30407234045604","803","803","803","45.74144581784595","45.74144581784595","45.74144581784595","803","803","803","34.22051761791184","34.22051761791184","34.22051761791184","803","803","803","26.332580330114865","26.332580330114865","26.332580330114865","803","803","803","16.116799164963957","16.116799164963957","16.116799164963957"
"4","1004","1004","1004","45.25626681729124","45.25626681729124","45.25626681729124","1004","1004","1004","37.47596298873573","37.47596298873573","37.47596298873573","1004","1004","1004","43.91564998797184","43.91564998797184","43.91564998797184","1004","1004","1004","38.20520328420788","38.20520328420788","38.20520328420788","1004","1004","1004","26.34510157996266","26.34510157996266","26.34510157996266","1004","1004","1004","29.031879939552514","29.031879939552514","29.031879939552514"
"5","1205","1205","1205","47.59562697976146","47.59562697976146","47.59562697976146","1205","1205","1205","39.53077143569158","39.53077143569158","39.53077143569158","1205","1205","1205","49.50566005174779","49.50566005174779","49.50566005174779","1205","1205","1205","36.27142866940889","36.27142866940889","36.27142866940889","1205","1205","1205","33.952170763864395","33.952170763864395","33.952170763864395","1205","1205","1205","34.31458443923316","34.31458443923316","34.31458443923316"
"6","1406","1406","1406","48.38958296374618","48.38958296374618","48.38958296374618","1406","1406","1406","38.74893543477265","38.74893543477265","38.74893543477265","1406","1406","1406","45.38248805950467","45.38248805950467","45.38248805950467","1406","1406","1406","39.477750351601614","39.477750351601614","39.477750351601614","1406","1406","1406","36.59965944119851","36.59965944119851","36.59965944119851","1406","1406","1406","34.68451725449819","34.68451725449819","34.68451725449819"
"7","1607","1607","1607","47.83768105781833","47.83768105781833","47.83768105781833","1607","1607","1607","41.05266437868195","41.05266437868195","41.05266437868195","1607","1607","1607","50.3859320676503","50.3859320676503","50.3859320676503","1607","1607","1607","42.00197050621415","42.00197050621415","42.00197050621415","1607","1607","1607","38.80517737671593","38.80517737671593","38.80517737671593","1607","1607","1607","37.17688330886092","37.17688330886092","37.17688330886092"
"8","1808","1808","1808","47.8616143602639","47.8616143602639","47.8616143602639","1808","1808","1808","41.53960873717008","41.53960873717008","41.53960873717008","1808","1808","1808","48.92139099724246","48.92139099724246","48.92139099724246","1808","1808","1808","42.96595033633044","42.96595033633044","42.96595033633044","","","","","","","","","","","",""
"9","2009","2009","2009","50.817615511793306","50.817615511793306","50.817615511793306","2009","2009","2009","41.318834474424634","41.318834474424634","41.318834474424634","2009","2009","2009","49.77418488973738","49.77418488973738","49.77418488973738","2009","2009","2009","42.19102436869926","42.19102436869926","42.19102436869926","","","","","","","","","","","",""
