"epoch","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MAX","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step__MIN","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - _step__MAX","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/semseg","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/semseg__MIN","G46_0429-0508_adam_lr_1e-4_bs_2_pretr_True_dilconv_False_2ecd8 - metrics_summary/semseg__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg__MAX","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step__MIN","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - _step__MAX","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/semseg","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/semseg__MIN","G46_0428-2242_sgd_lr_1e-2_bs_2_pretr_True_dilconv_False_0715b - metrics_summary/semseg__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MAX"
"0","200","200","200","70.41241724490023","70.41241724490023","70.41241724490023","200","200","200","60.500817990767565","60.500817990767565","60.500817990767565","200","200","200","68.38409832204236","68.38409832204236","68.38409832204236","200","200","200","62.56632740677676","62.56632740677676","62.56632740677676","200","200","200","44.621944260829544","44.621944260829544","44.621944260829544","200","200","200","41.063025506071696","41.063025506071696","41.063025506071696"
"1","401","401","401","70.84875046428246","70.84875046428246","70.84875046428246","401","401","401","64.6636922994583","64.6636922994583","64.6636922994583","401","401","401","71.39999878413767","71.39999878413767","71.39999878413767","401","401","401","64.68142399829868","64.68142399829868","64.68142399829868","401","401","401","49.82362862183519","49.82362862183519","49.82362862183519","401","401","401","51.45342959362738","51.45342959362738","51.45342959362738"
"2","602","602","602","73.7838364666301","73.7838364666301","73.7838364666301","602","602","602","66.5749060447594","66.5749060447594","66.5749060447594","602","602","602","73.68555108822147","73.68555108822147","73.68555108822147","602","602","602","66.82993880481258","66.82993880481258","66.82993880481258","602","602","602","55.139531749916806","55.139531749916806","55.139531749916806","602","602","602","52.84066752315729","52.84066752315729","52.84066752315729"
"3","803","803","803","71.175902030539","71.175902030539","71.175902030539","803","803","803","66.73950616070235","66.73950616070235","66.73950616070235","803","803","803","73.24347567686773","73.24347567686773","73.24347567686773","803","803","803","64.76376599566784","64.76376599566784","64.76376599566784","803","803","803","59.2902577636109","59.2902577636109","59.2902577636109","803","803","803","52.05077344593153","52.05077344593153","52.05077344593153"
"4","1004","1004","1004","71.7841799951794","71.7841799951794","71.7841799951794","1004","1004","1004","67.54610417579083","67.54610417579083","67.54610417579083","1004","1004","1004","71.25729298934289","71.25729298934289","71.25729298934289","1004","1004","1004","66.1304277540951","66.1304277540951","66.1304277540951","1004","1004","1004","61.97637654336084","61.97637654336084","61.97637654336084","1004","1004","1004","58.8751611622233","58.8751611622233","58.8751611622233"
"5","1205","1205","1205","73.55359926296266","73.55359926296266","73.55359926296266","1205","1205","1205","67.82855007302953","67.82855007302953","67.82855007302953","1205","1205","1205","74.1404866427657","74.1404866427657","74.1404866427657","1205","1205","1205","68.233136591277","68.233136591277","68.233136591277","1205","1205","1205","64.37471827750723","64.37471827750723","64.37471827750723","1205","1205","1205","63.20262033365319","63.20262033365319","63.20262033365319"
"6","1406","1406","1406","74.29816988007978","74.29816988007978","74.29816988007978","1406","1406","1406","67.66090595660985","67.66090595660985","67.66090595660985","1406","1406","1406","75.40919378204121","75.40919378204121","75.40919378204121","1406","1406","1406","68.13975879583903","68.13975879583903","68.13975879583903","1406","1406","1406","65.67110796832507","65.67110796832507","65.67110796832507","1406","1406","1406","63.846979263817865","63.846979263817865","63.846979263817865"
"7","1607","1607","1607","72.64189687872137","72.64189687872137","72.64189687872137","1607","1607","1607","69.15444371264377","69.15444371264377","69.15444371264377","1607","1607","1607","74.99662845062394","74.99662845062394","74.99662845062394","1607","1607","1607","68.92032922785917","68.92032922785917","68.92032922785917","1607","1607","1607","67.198589597706","67.198589597706","67.198589597706","1607","1607","1607","65.15523447625186","65.15523447625186","65.15523447625186"
"8","1808","1808","1808","72.57954557380893","72.57954557380893","72.57954557380893","1808","1808","1808","69.18495956090437","69.18495956090437","69.18495956090437","1808","1808","1808","74.16259990599376","74.16259990599376","74.16259990599376","1808","1808","1808","69.73245078877935","69.73245078877935","69.73245078877935","","","","","","","","","","","",""
"9","2009","2009","2009","75.38003675071936","75.38003675071936","75.38003675071936","2009","2009","2009","68.49293577413346","68.49293577413346","68.49293577413346","2009","2009","2009","76.48628060450754","76.48628060450754","76.48628060450754","2009","2009","2009","68.98749147485384","68.98749147485384","68.98749147485384","","","","","","","","","","","",""
