"epoch","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MAX","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/depth","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/depth__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/depth__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/depth","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/depth__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/depth__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/depth","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/depth__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/depth__MAX"
"0","200","200","200","37.972674635346365","37.972674635346365","37.972674635346365","200","200","200","35.914244485043525","35.914244485043525","35.914244485043525","200","200","200","28.52085405691125","28.52085405691125","28.52085405691125","200","200","200","34.02369988753228","34.02369988753228","34.02369988753228"
"1","401","401","401","36.00824991531829","36.00824991531829","36.00824991531829","401","401","401","33.13424250407569","33.13424250407569","33.13424250407569","401","401","401","28.678495701344573","28.678495701344573","28.678495701344573","401","401","401","29.847511881477537","29.847511881477537","29.847511881477537"
"2","602","602","602","31.208697840703884","31.208697840703884","31.208697840703884","602","602","602","32.149802023764344","32.149802023764344","32.149802023764344","602","602","602","25.52983036703025","25.52983036703025","25.52983036703025","602","602","602","26.43103897914595","26.43103897914595","26.43103897914595"
"3","803","803","803","33.10963293696154","33.10963293696154","33.10963293696154","803","803","803","28.27886720562101","28.27886720562101","28.27886720562101","803","803","803","26.82341337129247","26.82341337129247","26.82341337129247","803","803","803","27.502029859021782","27.502029859021782","27.502029859021782"
"4","1004","1004","1004","34.58758143460539","34.58758143460539","34.58758143460539","1004","1004","1004","28.60936441872568","28.60936441872568","28.60936441872568","1004","1004","1004","26.52791317788816","26.52791317788816","26.52791317788816","1004","1004","1004","27.341643001371047","27.341643001371047","27.341643001371047"
"5","1205","1205","1205","28.03373939181224","28.03373939181224","28.03373939181224","1205","1205","1205","26.78497718411584","26.78497718411584","26.78497718411584","1205","1205","1205","25.957972283201205","25.957972283201205","25.957972283201205","1205","1205","1205","24.634826591017905","24.634826591017905","24.634826591017905"
"6","1406","1406","1406","29.815754895625176","29.815754895625176","29.815754895625176","1406","1406","1406","30.58692284119093","30.58692284119093","30.58692284119093","1406","1406","1406","25.9085869163336","25.9085869163336","25.9085869163336","1406","1406","1406","30.026705722536544","30.026705722536544","30.026705722536544"
"7","1607","1607","1607","30.02800748335941","30.02800748335941","30.02800748335941","1607","1607","1607","32.17405406234895","32.17405406234895","32.17405406234895","1607","1607","1607","24.804215820903035","24.804215820903035","24.804215820903035","1607","1607","1607","24.610696382973643","24.610696382973643","24.610696382973643"
"8","1808","1808","1808","27.822581045510503","27.822581045510503","27.822581045510503","1808","1808","1808","26.98660847058667","26.98660847058667","26.98660847058667","1808","1808","1808","24.71793121354503","24.71793121354503","24.71793121354503","1808","1808","1808","25.241208908751297","25.241208908751297","25.241208908751297"
"9","2009","2009","2009","28.07947738059821","28.07947738059821","28.07947738059821","2009","2009","2009","28.076695935467608","28.076695935467608","28.076695935467608","2009","2009","2009","24.56242123892605","24.56242123892605","24.56242123892605","2009","2009","2009","26.712095714770165","26.712095714770165","26.712095714770165"
"10","2210","2210","2210","29.02683150092225","29.02683150092225","29.02683150092225","2210","2210","2210","25.439240193512653","25.439240193512653","25.439240193512653","2210","2210","2210","24.177984505142998","24.177984505142998","24.177984505142998","2210","2210","2210","22.92449634023568","22.92449634023568","22.92449634023568"
"11","2411","2411","2411","29.109751154051228","29.109751154051228","29.109751154051228","2411","2411","2411","24.40112683338293","24.40112683338293","24.40112683338293","2411","2411","2411","23.996743018791893","23.996743018791893","23.996743018791893","2411","2411","2411","23.11805785568432","23.11805785568432","23.11805785568432"
"12","2612","2612","2612","30.22509215732371","30.22509215732371","30.22509215732371","2612","2612","2612","24.90393277954029","24.90393277954029","24.90393277954029","2612","2612","2612","23.34127309334705","23.34127309334705","23.34127309334705","2612","2612","2612","22.437069761850438","22.437069761850438","22.437069761850438"
"13","2813","2813","2813","28.80562768335255","28.80562768335255","28.80562768335255","2813","2813","2813","24.588811328282006","24.588811328282006","24.588811328282006","2813","2813","2813","23.673969265614012","23.673969265614012","23.673969265614012","2813","2813","2813","24.048575641583394","24.048575641583394","24.048575641583394"
"14","3014","3014","3014","25.82540645511305","25.82540645511305","25.82540645511305","3014","3014","3014","24.564291386190437","24.564291386190437","24.564291386190437","3014","3014","3014","22.908017769891558","22.908017769891558","22.908017769891558","3014","3014","3014","22.206439657969685","22.206439657969685","22.206439657969685"
"15","3215","3215","3215","28.474710189813887","28.474710189813887","28.474710189813887","3215","3215","3215","24.855935058978268","24.855935058978268","24.855935058978268","3215","3215","3215","22.678110759337358","22.678110759337358","22.678110759337358","3215","3215","3215","21.816941347872127","21.816941347872127","21.816941347872127"
"16","3416","3416","3416","30.85667338622653","30.85667338622653","30.85667338622653","3416","3416","3416","23.941155644921743","23.941155644921743","23.941155644921743","","","","","","","","","","","",""
"17","3617","3617","3617","26.492338576416664","26.492338576416664","26.492338576416664","3617","3617","3617","23.853107762915744","23.853107762915744","23.853107762915744","","","","","","","","","","","",""
"18","3818","3818","3818","27.77428422419802","27.77428422419802","27.77428422419802","3818","3818","3818","25.728895156079194","25.728895156079194","25.728895156079194","","","","","","","","","","","",""
"19","4019","4019","4019","26.07911245565032","26.07911245565032","26.07911245565032","4019","4019","4019","23.5207017227123","23.5207017227123","23.5207017227123","","","","","","","","","","","",""
"20","4220","4220","4220","27.02137176737219","27.02137176737219","27.02137176737219","4220","4220","4220","23.041013733726427","23.041013733726427","23.041013733726427","","","","","","","","","","","",""
"21","4421","4421","4421","26.73251107753333","26.73251107753333","26.73251107753333","4421","4421","4421","22.603665131111075","22.603665131111075","22.603665131111075","","","","","","","","","","","",""
"22","4622","4622","4622","25.88420369121873","25.88420369121873","25.88420369121873","4622","4622","4622","22.452939862504792","22.452939862504792","22.452939862504792","","","","","","","","","","","",""
"23","4823","4823","4823","25.52511535414731","25.52511535414731","25.52511535414731","4823","4823","4823","23.145090113510175","23.145090113510175","23.145090113510175","","","","","","","","","","","",""
"24","5024","5024","5024","24.472286844608362","24.472286844608362","24.472286844608362","5024","5024","5024","22.396072732655085","22.396072732655085","22.396072732655085","","","","","","","","","","","",""
"25","5225","5225","5225","25.63640864154019","25.63640864154019","25.63640864154019","5225","5225","5225","22.07858410871427","22.07858410871427","22.07858410871427","","","","","","","","","","","",""
"26","5426","5426","5426","25.443221541268","25.443221541268","25.443221541268","5426","5426","5426","21.777442768914895","21.777442768914895","21.777442768914895","","","","","","","","","","","",""
"27","5627","5627","5627","25.072485431723283","25.072485431723283","25.072485431723283","5627","5627","5627","21.45041101153169","21.45041101153169","21.45041101153169","","","","","","","","","","","",""
"28","","","","","","","5828","5828","5828","21.698832144314704","21.698832144314704","21.698832144314704","","","","","","","","","","","",""
