"epoch","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MAX","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/grader","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/grader__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/grader__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/grader__MAX"
"0","200","200","200","22.248531417765385","22.248531417765385","22.248531417765385","200","200","200","31.617301327528722","31.617301327528722","31.617301327528722","200","200","200","41.89156318798898","41.89156318798898","41.89156318798898","200","200","200","34.36039843451008","34.36039843451008","34.36039843451008"
"1","401","401","401","31.326404374310883","31.326404374310883","31.326404374310883","401","401","401","37.08793284795789","37.08793284795789","37.08793284795789","401","401","401","42.17025476293789","42.17025476293789","42.17025476293789","401","401","401","41.55248690266013","41.55248690266013","41.55248690266013"
"2","602","602","602","38.68133679447718","38.68133679447718","38.68133679447718","602","602","602","37.02568192807487","37.02568192807487","37.02568192807487","602","602","602","48.254006099599856","48.254006099599856","48.254006099599856","602","602","602","47.25451210907552","47.25451210907552","47.25451210907552"
"3","803","803","803","37.525227859452265","37.525227859452265","37.525227859452265","803","803","803","46.868578358526605","46.868578358526605","46.868578358526605","803","803","803","44.35248865924653","44.35248865924653","44.35248865924653","803","803","803","45.74144581784595","45.74144581784595","45.74144581784595"
"4","1004","1004","1004","37.2993336323916","37.2993336323916","37.2993336323916","1004","1004","1004","48.122672475506846","48.122672475506846","48.122672475506846","1004","1004","1004","45.25626681729124","45.25626681729124","45.25626681729124","1004","1004","1004","43.91564998797184","43.91564998797184","43.91564998797184"
"5","1205","1205","1205","45.030335390325014","45.030335390325014","45.030335390325014","1205","1205","1205","49.28004701279418","49.28004701279418","49.28004701279418","1205","1205","1205","47.59562697976146","47.59562697976146","47.59562697976146","1205","1205","1205","49.50566005174779","49.50566005174779","49.50566005174779"
"6","1406","1406","1406","43.89070110191105","43.89070110191105","43.89070110191105","1406","1406","1406","43.532526148030556","43.532526148030556","43.532526148030556","1406","1406","1406","48.38958296374618","48.38958296374618","48.38958296374618","1406","1406","1406","45.38248805950467","45.38248805950467","45.38248805950467"
"7","1607","1607","1607","44.36247433611177","44.36247433611177","44.36247433611177","1607","1607","1607","44.00804896924367","44.00804896924367","44.00804896924367","1607","1607","1607","47.83768105781833","47.83768105781833","47.83768105781833","1607","1607","1607","50.3859320676503","50.3859320676503","50.3859320676503"
"8","1808","1808","1808","47.13639664997153","47.13639664997153","47.13639664997153","1808","1808","1808","50.091425339850716","50.091425339850716","50.091425339850716","1808","1808","1808","47.8616143602639","47.8616143602639","47.8616143602639","1808","1808","1808","48.92139099724246","48.92139099724246","48.92139099724246"
"9","2009","2009","2009","47.88040281529619","47.88040281529619","47.88040281529619","2009","2009","2009","47.69576521596832","47.69576521596832","47.69576521596832","2009","2009","2009","50.817615511793306","50.817615511793306","50.817615511793306","2009","2009","2009","49.77418488973738","49.77418488973738","49.77418488973738"
