"epoch","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - _step__MAX","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/semseg","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/semseg__MIN","G46_0502-1106_sgd_lr_1e-3_bs_2_pretr_True_dilconv_True_aspp_decode_eb53b - metrics_summary/semseg__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - _step__MAX","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg__MIN","G46_0428-2250_sgd_lr_1e-2_bs_2_pretr_True_dilconv_True_06895 - metrics_summary/semseg__MAX"
"0","200","200","200","60.22120605311175","60.22120605311175","60.22120605311175","200","200","200","67.53154581257225","67.53154581257225","67.53154581257225","200","200","200","70.41241724490023","70.41241724490023","70.41241724490023","200","200","200","68.38409832204236","68.38409832204236","68.38409832204236"
"1","401","401","401","67.33465428962917","67.33465428962917","67.33465428962917","401","401","401","70.22217535203357","70.22217535203357","70.22217535203357","401","401","401","70.84875046428246","70.84875046428246","70.84875046428246","401","401","401","71.39999878413767","71.39999878413767","71.39999878413767"
"2","602","602","602","69.89003463518107","69.89003463518107","69.89003463518107","602","602","602","69.17548395183921","69.17548395183921","69.17548395183921","602","602","602","73.7838364666301","73.7838364666301","73.7838364666301","602","602","602","73.68555108822147","73.68555108822147","73.68555108822147"
"3","803","803","803","70.6348607964138","70.6348607964138","70.6348607964138","803","803","803","75.14744556414762","75.14744556414762","75.14744556414762","803","803","803","71.175902030539","71.175902030539","71.175902030539","803","803","803","73.24347567686773","73.24347567686773","73.24347567686773"
"4","1004","1004","1004","71.88691506699699","71.88691506699699","71.88691506699699","1004","1004","1004","76.73203689423252","76.73203689423252","76.73203689423252","1004","1004","1004","71.7841799951794","71.7841799951794","71.7841799951794","1004","1004","1004","71.25729298934289","71.25729298934289","71.25729298934289"
"5","1205","1205","1205","73.06407478213725","73.06407478213725","73.06407478213725","1205","1205","1205","76.06502419691002","76.06502419691002","76.06502419691002","1205","1205","1205","73.55359926296266","73.55359926296266","73.55359926296266","1205","1205","1205","74.1404866427657","74.1404866427657","74.1404866427657"
"6","1406","1406","1406","73.70645599753622","73.70645599753622","73.70645599753622","1406","1406","1406","74.11944898922148","74.11944898922148","74.11944898922148","1406","1406","1406","74.29816988007978","74.29816988007978","74.29816988007978","1406","1406","1406","75.40919378204121","75.40919378204121","75.40919378204121"
"7","1607","1607","1607","74.39048181947118","74.39048181947118","74.39048181947118","1607","1607","1607","76.18210303159262","76.18210303159262","76.18210303159262","1607","1607","1607","72.64189687872137","72.64189687872137","72.64189687872137","1607","1607","1607","74.99662845062394","74.99662845062394","74.99662845062394"
"8","1808","1808","1808","74.95897769548203","74.95897769548203","74.95897769548203","1808","1808","1808","77.07803381043739","77.07803381043739","77.07803381043739","1808","1808","1808","72.57954557380893","72.57954557380893","72.57954557380893","1808","1808","1808","74.16259990599376","74.16259990599376","74.16259990599376"
"9","2009","2009","2009","75.9598801958944","75.9598801958944","75.9598801958944","2009","2009","2009","75.77246115143593","75.77246115143593","75.77246115143593","2009","2009","2009","75.38003675071936","75.38003675071936","75.38003675071936","2009","2009","2009","76.48628060450754","76.48628060450754","76.48628060450754"
