"epoch","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MAX"
"0","200","200","200","33.17243425584697","33.17243425584697","33.17243425584697","200","200","200","31.617301327528722","31.617301327528722","31.617301327528722","200","200","200","41.89156318798898","41.89156318798898","41.89156318798898"
"1","401","401","401","36.488872233664885","36.488872233664885","36.488872233664885","401","401","401","37.08793284795789","37.08793284795789","37.08793284795789","401","401","401","42.17025476293789","42.17025476293789","42.17025476293789"
"2","602","602","602","39.62254248285589","39.62254248285589","39.62254248285589","602","602","602","37.02568192807487","37.02568192807487","37.02568192807487","602","602","602","48.254006099599856","48.254006099599856","48.254006099599856"
"3","803","803","803","47.294520519847815","47.294520519847815","47.294520519847815","803","803","803","46.868578358526605","46.868578358526605","46.868578358526605","803","803","803","44.35248865924653","44.35248865924653","44.35248865924653"
"4","1004","1004","1004","47.501233850628836","47.501233850628836","47.501233850628836","1004","1004","1004","48.122672475506846","48.122672475506846","48.122672475506846","1004","1004","1004","45.25626681729124","45.25626681729124","45.25626681729124"
"5","1205","1205","1205","47.12693461139452","47.12693461139452","47.12693461139452","1205","1205","1205","49.28004701279418","49.28004701279418","49.28004701279418","1205","1205","1205","47.59562697976146","47.59562697976146","47.59562697976146"
"6","1406","1406","1406","49.95655354526194","49.95655354526194","49.95655354526194","1406","1406","1406","43.532526148030556","43.532526148030556","43.532526148030556","1406","1406","1406","48.38958296374618","48.38958296374618","48.38958296374618"
"7","1607","1607","1607","52.41361446051074","52.41361446051074","52.41361446051074","1607","1607","1607","44.00804896924367","44.00804896924367","44.00804896924367","1607","1607","1607","47.83768105781833","47.83768105781833","47.83768105781833"
"8","1808","1808","1808","50.27918787664565","50.27918787664565","50.27918787664565","1808","1808","1808","50.091425339850716","50.091425339850716","50.091425339850716","1808","1808","1808","47.8616143602639","47.8616143602639","47.8616143602639"
"9","2009","2009","2009","50.55380233873427","50.55380233873427","50.55380233873427","2009","2009","2009","47.69576521596832","47.69576521596832","47.69576521596832","2009","2009","2009","50.817615511793306","50.817615511793306","50.817615511793306"
