"epoch","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/semseg__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/semseg__MAX"
"0","200","200","200","65.60296215266096","65.60296215266096","65.60296215266096","200","200","200","67.53154581257225","67.53154581257225","67.53154581257225","200","200","200","70.41241724490023","70.41241724490023","70.41241724490023"
"1","401","401","401","69.48275292859994","69.48275292859994","69.48275292859994","401","401","401","70.22217535203357","70.22217535203357","70.22217535203357","401","401","401","70.84875046428246","70.84875046428246","70.84875046428246"
"2","602","602","602","73.05064427180896","73.05064427180896","73.05064427180896","602","602","602","69.17548395183921","69.17548395183921","69.17548395183921","602","602","602","73.7838364666301","73.7838364666301","73.7838364666301"
"3","803","803","803","75.22743065909917","75.22743065909917","75.22743065909917","803","803","803","75.14744556414762","75.14744556414762","75.14744556414762","803","803","803","71.175902030539","71.175902030539","71.175902030539"
"4","1004","1004","1004","76.0504050166912","76.0504050166912","76.0504050166912","1004","1004","1004","76.73203689423252","76.73203689423252","76.73203689423252","1004","1004","1004","71.7841799951794","71.7841799951794","71.7841799951794"
"5","1205","1205","1205","75.17196545876294","75.17196545876294","75.17196545876294","1205","1205","1205","76.06502419691002","76.06502419691002","76.06502419691002","1205","1205","1205","73.55359926296266","73.55359926296266","73.55359926296266"
"6","1406","1406","1406","76.54666699572472","76.54666699572472","76.54666699572472","1406","1406","1406","74.11944898922148","74.11944898922148","74.11944898922148","1406","1406","1406","74.29816988007978","74.29816988007978","74.29816988007978"
"7","1607","1607","1607","77.84337476076905","77.84337476076905","77.84337476076905","1607","1607","1607","76.18210303159262","76.18210303159262","76.18210303159262","1607","1607","1607","72.64189687872137","72.64189687872137","72.64189687872137"
"8","1808","1808","1808","77.14104099712429","77.14104099712429","77.14104099712429","1808","1808","1808","77.07803381043739","77.07803381043739","77.07803381043739","1808","1808","1808","72.57954557380893","72.57954557380893","72.57954557380893"
"9","2009","2009","2009","76.33733534810678","76.33733534810678","76.33733534810678","2009","2009","2009","75.77246115143593","75.77246115143593","75.77246115143593","2009","2009","2009","75.38003675071936","75.38003675071936","75.38003675071936"
"10","2210","2210","2210","75.7405674774513","75.7405674774513","75.7405674774513","2210","2210","2210","78.26994179169253","78.26994179169253","78.26994179169253","2210","2210","2210","75.47046110503074","75.47046110503074","75.47046110503074"
"11","2411","2411","2411","78.34842655213004","78.34842655213004","78.34842655213004","2411","2411","2411","78.88590916568248","78.88590916568248","78.88590916568248","2411","2411","2411","73.00249147525771","73.00249147525771","73.00249147525771"
"12","2612","2612","2612","78.83970743114253","78.83970743114253","78.83970743114253","2612","2612","2612","78.61100870546434","78.61100870546434","78.61100870546434","2612","2612","2612","73.76094494544793","73.76094494544793","73.76094494544793"
"13","2813","2813","2813","79.57872901090666","79.57872901090666","79.57872901090666","2813","2813","2813","78.1323810938425","78.1323810938425","78.1323810938425","2813","2813","2813","73.76005555461862","73.76005555461862","73.76005555461862"
"14","3014","3014","3014","79.34502615585359","79.34502615585359","79.34502615585359","3014","3014","3014","78.97922421643699","78.97922421643699","78.97922421643699","3014","3014","3014","74.31537897186264","74.31537897186264","74.31537897186264"
"15","3215","3215","3215","80.6977046879154","80.6977046879154","80.6977046879154","3215","3215","3215","78.62368568872417","78.62368568872417","78.62368568872417","3215","3215","3215","74.07416159667524","74.07416159667524","74.07416159667524"
"16","3416","3416","3416","80.6712848979531","80.6712848979531","80.6712848979531","3416","3416","3416","80.20172515532632","80.20172515532632","80.20172515532632","","","","","",""
"17","3617","3617","3617","80.50019331525587","80.50019331525587","80.50019331525587","3617","3617","3617","80.88410699598182","80.88410699598182","80.88410699598182","","","","","",""
"18","3818","3818","3818","81.0104572355447","81.0104572355447","81.0104572355447","3818","3818","3818","80.61594590260496","80.61594590260496","80.61594590260496","","","","","",""
"19","4019","4019","4019","80.9453841082618","80.9453841082618","80.9453841082618","4019","4019","4019","80.70604584359769","80.70604584359769","80.70604584359769","","","","","",""
"20","4220","4220","4220","81.77044199922503","81.77044199922503","81.77044199922503","4220","4220","4220","81.11019853224705","81.11019853224705","81.11019853224705","","","","","",""
"21","4421","4421","4421","81.62344343471882","81.62344343471882","81.62344343471882","4421","4421","4421","81.346996061133","81.346996061133","81.346996061133","","","","","",""
"22","4622","4622","4622","81.54619222664523","81.54619222664523","81.54619222664523","4622","4622","4622","82.06131944813228","82.06131944813228","82.06131944813228","","","","","",""
"23","4823","4823","4823","82.275010324396","82.275010324396","82.275010324396","4823","4823","4823","81.75552311575996","81.75552311575996","81.75552311575996","","","","","",""
"24","5024","5024","5024","81.12027165826707","81.12027165826707","81.12027165826707","5024","5024","5024","82.26935851894186","82.26935851894186","82.26935851894186","","","","","",""
"25","5225","5225","5225","82.60436817364925","82.60436817364925","82.60436817364925","5225","5225","5225","82.36838513529726","82.36838513529726","82.36838513529726","","","","","",""
"26","5426","5426","5426","82.74268027955348","82.74268027955348","82.74268027955348","5426","5426","5426","82.3999988569809","82.3999988569809","82.3999988569809","","","","","",""
"27","5627","5627","5627","83.13709251087803","83.13709251087803","83.13709251087803","5627","5627","5627","83.0111686949341","83.0111686949341","83.0111686949341","","","","","",""
"28","","","","","","","5828","5828","5828","83.10524499194366","83.10524499194366","83.10524499194366","","","","","",""
