"epoch","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MAX","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/depth","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/depth__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/depth__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/depth","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/depth__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/depth__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/depth","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/depth__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/depth__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/depth","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/depth__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/depth__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth__MAX"
"0","200","200","200","36.41555954907282","36.41555954907282","36.41555954907282","200","200","200","30.224720794063575","30.224720794063575","30.224720794063575","200","200","200","35.25109473807798","35.25109473807798","35.25109473807798","200","200","200","32.01221538833107","32.01221538833107","32.01221538833107","200","200","200","32.43052789681399","32.43052789681399","32.43052789681399"
"1","401","401","401","32.79390547140785","32.79390547140785","32.79390547140785","401","401","401","28.369325534126972","28.369325534126972","28.369325534126972","401","401","401","30.823114645573106","30.823114645573106","30.823114645573106","401","401","401","30.403891947151376","30.403891947151376","30.403891947151376","401","401","401","32.99388069493505","32.99388069493505","32.99388069493505"
"2","602","602","602","29.74336847220408","29.74336847220408","29.74336847220408","602","602","602","25.916502741387","25.916502741387","25.916502741387","602","602","602","37.89634563323739","37.89634563323739","37.89634563323739","602","602","602","29.613371267019282","29.613371267019282","29.613371267019282","602","602","602","33.42810178895307","33.42810178895307","33.42810178895307"
"3","803","803","803","29.353362185953873","29.353362185953873","29.353362185953873","803","803","803","25.65853091130513","25.65853091130513","25.65853091130513","803","803","803","28.227736352239376","28.227736352239376","28.227736352239376","803","803","803","30.33308183040341","30.33308183040341","30.33308183040341","803","803","803","27.932910139251355","27.932910139251355","27.932910139251355"
"4","1004","1004","1004","28.600574765496447","28.600574765496447","28.600574765496447","1004","1004","1004","23.936699437373527","23.936699437373527","23.936699437373527","1004","1004","1004","27.391113493159814","27.391113493159814","27.391113493159814","1004","1004","1004","27.2606819778467","27.2606819778467","27.2606819778467","1004","1004","1004","28.54917116606236","28.54917116606236","28.54917116606236"
"5","1205","1205","1205","27.869144556937925","27.869144556937925","27.869144556937925","1205","1205","1205","23.635439607521057","23.635439607521057","23.635439607521057","1205","1205","1205","31.040286353436297","31.040286353436297","31.040286353436297","1205","1205","1205","27.950152161854486","27.950152161854486","27.950152161854486","1205","1205","1205","28.045030847368423","28.045030847368423","28.045030847368423"
"6","1406","1406","1406","27.064561001411615","27.064561001411615","27.064561001411615","1406","1406","1406","22.999896458370074","22.999896458370074","22.999896458370074","1406","1406","1406","28.662603968015006","28.662603968015006","28.662603968015006","1406","1406","1406","27.204089591039857","27.204089591039857","27.204089591039857","1406","1406","1406","26.590113450462784","26.590113450462784","26.590113450462784"
"7","1607","1607","1607","29.90256630598543","29.90256630598543","29.90256630598543","1607","1607","1607","22.904248775460342","22.904248775460342","22.904248775460342","1607","1607","1607","28.43291311140121","28.43291311140121","28.43291311140121","1607","1607","1607","26.290277871850527","26.290277871850527","26.290277871850527","1607","1607","1607","25.429760300258305","25.429760300258305","25.429760300258305"
"8","1808","1808","1808","25.99213783849077","25.99213783849077","25.99213783849077","1808","1808","1808","24.24429188055704","24.24429188055704","24.24429188055704","1808","1808","1808","26.81697683725875","26.81697683725875","26.81697683725875","1808","1808","1808","25.84416990249757","25.84416990249757","25.84416990249757","1808","1808","1808","26.86185312047864","26.86185312047864","26.86185312047864"
"9","2009","2009","2009","25.371339971410272","25.371339971410272","25.371339971410272","2009","2009","2009","22.98727350195235","22.98727350195235","22.98727350195235","2009","2009","2009","26.84816328503822","26.84816328503822","26.84816328503822","2009","2009","2009","26.06718896306785","26.06718896306785","26.06718896306785","2009","2009","2009","25.7835330093725","25.7835330093725","25.7835330093725"
"10","2210","2210","2210","25.429704986072313","25.429704986072313","25.429704986072313","2210","2210","2210","22.108061161022682","22.108061161022682","22.108061161022682","2210","2210","2210","27.509677898597786","27.509677898597786","27.509677898597786","2210","2210","2210","25.89414803050757","25.89414803050757","25.89414803050757","2210","2210","2210","26.452001884815957","26.452001884815957","26.452001884815957"
"11","2411","2411","2411","24.91496206597441","24.91496206597441","24.91496206597441","2411","2411","2411","23.085116605228784","23.085116605228784","23.085116605228784","2411","2411","2411","25.37319887881283","25.37319887881283","25.37319887881283","2411","2411","2411","25.337099310278408","25.337099310278408","25.337099310278408","2411","2411","2411","26.55218198968255","26.55218198968255","26.55218198968255"
