"epoch","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MAX","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/semseg","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/semseg__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/semseg__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/semseg","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/semseg__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/semseg__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/semseg","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/semseg__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/semseg__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/semseg","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/semseg__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/semseg__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg__MAX"
"0","200","200","200","61.43885458195972","61.43885458195972","61.43885458195972","200","200","200","63.21583252003645","63.21583252003645","63.21583252003645","200","200","200","67.52812875805411","67.52812875805411","67.52812875805411","200","200","200","66.4754891361945","66.4754891361945","66.4754891361945","200","200","200","65.60296215266096","65.60296215266096","65.60296215266096"
"1","401","401","401","66.6346141476003","66.6346141476003","66.6346141476003","401","401","401","68.61247189782135","68.61247189782135","68.61247189782135","401","401","401","71.57404044284553","71.57404044284553","71.57404044284553","401","401","401","69.54399130541975","69.54399130541975","69.54399130541975","401","401","401","69.48275292859994","69.48275292859994","69.48275292859994"
"2","602","602","602","70.04041278369615","70.04041278369615","70.04041278369615","602","602","602","72.72468955633356","72.72468955633356","72.72468955633356","602","602","602","69.74671039675476","69.74671039675476","69.74671039675476","602","602","602","72.89720349970356","72.89720349970356","72.89720349970356","602","602","602","73.05064427180896","73.05064427180896","73.05064427180896"
"3","803","803","803","71.74253344933864","71.74253344933864","71.74253344933864","803","803","803","73.84722653190128","73.84722653190128","73.84722653190128","803","803","803","75.87610916464243","75.87610916464243","75.87610916464243","803","803","803","74.66036357133122","74.66036357133122","74.66036357133122","803","803","803","75.22743065909917","75.22743065909917","75.22743065909917"
"4","1004","1004","1004","73.33549531483857","73.33549531483857","73.33549531483857","1004","1004","1004","75.04402801486737","75.04402801486737","75.04402801486737","1004","1004","1004","75.76318534836737","75.76318534836737","75.76318534836737","1004","1004","1004","76.21983481357147","76.21983481357147","76.21983481357147","1004","1004","1004","76.0504050166912","76.0504050166912","76.0504050166912"
"5","1205","1205","1205","74.10107861530125","74.10107861530125","74.10107861530125","1205","1205","1205","75.76467058124932","75.76467058124932","75.76467058124932","1205","1205","1205","76.73182446672965","76.73182446672965","76.73182446672965","1205","1205","1205","77.51753942287371","77.51753942287371","77.51753942287371","1205","1205","1205","75.17196545876294","75.17196545876294","75.17196545876294"
"6","1406","1406","1406","74.86896475791964","74.86896475791964","74.86896475791964","1406","1406","1406","77.14813044630868","77.14813044630868","77.14813044630868","1406","1406","1406","77.89534345928593","77.89534345928593","77.89534345928593","1406","1406","1406","73.79796473128216","73.79796473128216","73.79796473128216","1406","1406","1406","76.54666699572472","76.54666699572472","76.54666699572472"
"7","1607","1607","1607","75.15568501614958","75.15568501614958","75.15568501614958","1607","1607","1607","77.62164333279516","77.62164333279516","77.62164333279516","1607","1607","1607","75.09060907582943","75.09060907582943","75.09060907582943","1607","1607","1607","78.64015282094579","78.64015282094579","78.64015282094579","1607","1607","1607","77.84337476076905","77.84337476076905","77.84337476076905"
"8","1808","1808","1808","75.65934131170519","75.65934131170519","75.65934131170519","1808","1808","1808","77.88506082887795","77.88506082887795","77.88506082887795","1808","1808","1808","76.94051968633772","76.94051968633772","76.94051968633772","1808","1808","1808","77.95112352666482","77.95112352666482","77.95112352666482","1808","1808","1808","77.14104099712429","77.14104099712429","77.14104099712429"
"9","2009","2009","2009","76.34257583403686","76.34257583403686","76.34257583403686","2009","2009","2009","78.55869968017474","78.55869968017474","78.55869968017474","2009","2009","2009","74.0171248945295","74.0171248945295","74.0171248945295","2009","2009","2009","78.37683435920793","78.37683435920793","78.37683435920793","2009","2009","2009","76.33733534810678","76.33733534810678","76.33733534810678"
"10","2210","2210","2210","76.79797189108027","76.79797189108027","76.79797189108027","2210","2210","2210","78.70994324966465","78.70994324966465","78.70994324966465","2210","2210","2210","78.78619381420947","78.78619381420947","78.78619381420947","2210","2210","2210","78.43854534119778","78.43854534119778","78.43854534119778","2210","2210","2210","75.7405674774513","75.7405674774513","75.7405674774513"
"11","2411","2411","2411","76.50248081375834","76.50248081375834","76.50248081375834","2411","2411","2411","79.04294912166853","79.04294912166853","79.04294912166853","2411","2411","2411","78.89812834655454","78.89812834655454","78.89812834655454","2411","2411","2411","80.14601260494483","80.14601260494483","80.14601260494483","2411","2411","2411","78.34842655213004","78.34842655213004","78.34842655213004"
"12","2612","2612","2612","76.99308199497652","76.99308199497652","76.99308199497652","2612","2612","2612","79.22391997666212","79.22391997666212","79.22391997666212","2612","2612","2612","79.49191278958169","79.49191278958169","79.49191278958169","2612","2612","2612","79.98825989427652","79.98825989427652","79.98825989427652","2612","2612","2612","78.83970743114253","78.83970743114253","78.83970743114253"
